PLAYER_ID,PLAYER_NAME,TEAM
1630611,Gui Santos,GSW
203084,Harrison Barnes,SAS
1631127,Harrison Ingram,SAS
1643060,Hayden Gray,UTA
1629312,Haywood Highsmith,PHX
1630529,Herbert Jones,NOP
1642864,Hugo González,BOS
1630621,Hunter Dickinson,NOP
1642282,Hunter Sallis,PHI
1641816,Hunter Tyson,DEN
1630193,Immanuel Quickley,TOR
1642403,Isaac Jones,DET
1630171,Isaac Okoro,CHI
1642268,Isaiah Collier,UTA
1642384,Isaiah Crawford,HOU
1628392,Isaiah Hartenstein,OKC
1630543,Isaiah Jackson,LAC
1630198,Isaiah Joe,OKC
1630587,Isaiah Livers,PHX
1641815,Isaiah Stevens,SAC
1630191,Isaiah Stewart,DET
1627826,Ivica Zubac,IND
1631120,JD Davison,HOU
1629630,Ja Morant,MEM
1642266,Ja'Kobe Walter,TOR
1631095,Jabari Smith Jr.,HOU
1631133,Jabari Walker,PHI
1631210,Jacob Toppin,ATL
1630702,Jaden Hardy,WAS
1631093,Jaden Ivey,CHI
1630183,Jaden McDaniels,MIN
1630256,Jae'Sean Tate,HOU
1642942,Jahmai Mashack,MEM
1642443,Jahmir Young,MIA
1643141,Jahmyl Telfort,LAC
1631170,Jaime Jaquez Jr.,MIA
1631222,Jake LaRavia,LAL
1627751,Jakob Poeltl,TOR
1628973,Jalen Brunson,NYK
1631105,Jalen Duren,DET
1630224,Jalen Green,PHX
1630552,Jalen Johnson,ATL
1629618,Jalen Pickett,DEN
1641771,Jalen Slawson,IND
1630188,Jalen Smith,CHI
1630591,Jalen Suggs,ORL
1631114,Jalen Williams,OKC
1630592,Jalen Wilson,BKN
1631288,Jamal Cain,ORL
1627750,Jamal Murray,DEN
1642347,Jamal Shead,TOR
1631123,Jamaree Bouyea,PHX
201935,James Harden,CLE
1630164,James Wiseman,IND
1642364,Jamir Watkins,WAS
1642419,Jamison Battle,TOR
1641716,Jarace Walker,IND
1642272,Jared McCain,OKC
1628991,Jaren Jackson Jr.,UTA
1629020,Jarred Vanderbilt,LAL
1628386,Jarrett Allen,CLE
1642859,Jase Richardson,ORL
1642914,Javon Small,MEM
1631451,Javonte Cooke,POR
1629750,Javonte Green,DET
1629637,Jaxson Hayes,LAL
1630643,Jay Huff,IND
1627759,Jaylen Brown,BOS
1641740,Jaylen Clark,MIN
1642377,Jaylen Wells,MEM
1631119,Jaylin Williams,OKC
1642281,Jaylon Tyson,CLE
1643257,Jayson Kent,POR
1628369,Jayson Tatum,BOS
201145,Jeff Green,HOU
203924,Jerami Grant,POR
1642847,Jeremiah Fears,NOP
1630526,Jeremiah Robinson-Earl,DAL
1631110,Jeremy Sochan,NYK
1630579,Jericho Sims,MIL
1641724,Jett Howard,ORL
1628975,Jevon Carter,ORL
202710,Jimmy Butler III,GSW
1642866,Joan Beringer,MIN
1629111,Jock Landale,ATL
204060,Joe Ingles,MIN
203954,Joel Embiid,PHI
1628381,John Collins,LAC
1629723,John Konchar,UTA
1642967,John Poulakidas,DAL
1642910,John Tonje,BOS
1641780,Johni Broome,PHI
1642277,Johnny Furphy,IND
1630548,Johnny Juzang,MIN
202685,Jonas Valančiūnas,DEN
1628371,Jonathan Isaac,ORL
1630228,Jonathan Kuminga,ATL
1642367,Jonathan Mogbo,TOR
203903,Jordan Clarkson,NYK
1630692,Jordan Goodwin,PHX
1641722,Jordan Hawkins,NOP
1629162,Jordan McLaughlin,SAS
1641757,Jordan Miller,LAC
1629673,Jordan Poole,NOP
1641775,Jordan Walsh,BOS
1630631,Jose Alvarado,NYK
1630581,Josh Giddey,CHI
1630182,Josh Green,CHA
